,features/color,features/x,features/clarity,features/y,features/depth,features/z,features/carat,features/table,features/cut
24892,4,6.48,1,6.44,60.2,3.89,1.0,61.0,3
27426,3,4.66,3,4.59,63.8,2.95,0.39,59.0,1
15053,3,5.84,3,5.88,62.1,3.64,0.77,56.0,4
52595,6,6.34,1,6.38,61.9,3.94,1.01,59.0,2
2818,3,4.43,7,4.47,61.9,2.75,0.33,56.0,4
41854,2,4.3,6,4.32,62.2,2.68,0.3,53.0,4
33718,2,4.48,3,4.51,62.5,2.81,0.34,55.0,4
5362,4,6.45,2,6.48,62.3,4.03,1.04,57.0,4
51953,2,7.42,3,7.33,60.3,4.45,1.5,57.0,4
44855,2,5.65,3,5.61,63.9,3.6,0.7,53.0,1
6385,3,5.78,2,5.68,62.8,3.6,0.72,60.0,3
42176,3,5.26,7,5.28,61.2,3.22,0.54,57.0,4
15169,1,5.23,3,5.26,61.0,3.2,0.53,57.0,4
48823,1,7.39,1,7.33,61.0,4.49,1.52,59.0,3
50503,0,5.25,3,5.21,61.2,3.2,0.53,55.0,4
33844,4,4.29,2,4.32,62.2,2.68,0.3,53.0,4
13246,4,6.54,1,6.5,60.1,3.92,1.01,60.0,4
18318,2,5.5,3,5.46,64.1,3.51,0.66,56.0,1
22640,1,4.54,4,4.58,61.6,2.81,0.36,57.0,4
28305,2,4.29,6,4.26,61.8,2.64,0.3,59.0,3
29032,1,5.64,4,5.59,62.7,3.52,0.7,60.0,3
44889,4,6.61,1,6.55,62.0,4.08,1.09,57.0,3
46636,5,8.04,1,7.97,63.0,5.04,2.01,59.0,3
29191,2,4.46,5,4.48,61.1,2.73,0.33,56.0,2
51854,4,7.05,3,7.02,62.3,4.38,1.34,60.0,3
31318,1,4.3,3,4.27,61.4,2.63,0.3,59.0,4
1965,3,4.23,5,4.27,63.3,2.69,0.3,57.0,1
987,4,7.79,2,7.83,62.9,4.91,1.87,58.0,2
18409,4,4.43,6,4.4,61.6,2.72,0.32,55.0,4
25176,0,4.35,1,4.31,62.1,2.69,0.31,59.0,3
9357,1,4.81,3,4.84,59.1,2.85,0.4,60.0,2
41642,5,4.92,5,4.87,61.5,3.01,0.44,57.0,3
32615,3,4.85,3,4.88,61.7,3.0,0.43,55.0,4
27521,4,5.84,2,5.89,61.7,3.62,0.77,56.0,2
4963,3,5.14,3,5.17,63.6,3.28,0.54,56.0,1
36895,0,6.29,1,6.36,63.9,4.04,1.01,57.0,1
46683,4,4.22,6,4.25,63.3,2.68,0.3,60.0,1
21635,5,5.39,2,5.43,63.4,3.43,0.61,55.0,2
53891,4,4.44,7,4.4,61.8,2.73,0.33,60.0,3
32309,2,4.17,5,4.2,61.4,2.57,0.27,57.0,4
30632,6,8.29,3,8.23,60.3,4.98,2.08,59.0,3
2928,1,5.33,3,5.42,61.4,3.3,0.59,56.0,4
15496,4,6.11,3,5.98,68.8,4.16,0.96,56.0,0
45070,5,5.74,7,5.77,61.5,3.54,0.71,56.0,4
30412,2,5.08,3,5.05,63.2,3.2,0.51,57.0,4
30358,2,4.6,3,4.55,61.4,2.81,0.35,55.0,4
52765,2,6.26,1,6.21,62.1,3.87,0.91,56.0,3
50649,3,5.54,3,5.59,62.2,3.46,0.7,61.0,2
35380,6,6.81,7,6.87,62.1,4.25,1.21,60.0,1
31381,3,4.46,6,4.48,61.4,2.74,0.33,55.0,4
49602,3,6.36,3,6.4,63.0,4.02,1.0,59.0,2
20529,1,5.61,2,5.63,63.2,3.55,0.7,57.0,1
43754,4,6.02,2,6.05,63.8,3.85,0.86,56.0,2
47642,4,5.42,2,5.35,62.4,3.36,0.59,58.0,3
34361,3,5.81,3,5.83,61.0,3.55,0.72,55.0,4
26777,5,7.54,1,7.5,60.9,4.58,1.61,63.0,2
4383,4,7.38,3,7.42,61.8,4.58,1.52,55.1,4
50994,2,5.95,3,5.97,60.7,3.62,0.79,60.0,3
17084,3,6.2,2,6.16,62.1,3.84,0.9,56.0,4
31839,0,4.41,2,4.46,60.4,2.68,0.33,60.0,3
7443,4,6.55,2,6.58,60.3,3.96,1.04,57.0,4
11885,4,5.16,2,5.21,61.5,3.19,0.52,56.0,4
14306,4,7.7,2,7.66,62.6,4.81,1.76,58.0,2
41578,4,4.54,5,4.56,62.2,2.83,0.37,59.0,2
25890,0,5.12,1,5.1,62.8,3.21,0.51,57.0,4
26998,4,4.75,3,4.66,63.1,2.97,0.4,62.0,2
17142,3,6.55,1,6.51,62.5,4.08,1.06,55.0,4
40361,1,5.7,2,5.73,62.6,3.58,0.72,56.0,4
6598,0,6.39,2,6.42,61.7,3.95,1.0,57.0,4
53934,2,5.22,4,5.24,61.2,3.2,0.53,56.0,4
43588,5,6.51,2,6.57,61.9,4.05,1.04,54.0,4
32806,1,4.33,7,4.29,61.0,2.63,0.3,59.0,3
39484,3,4.81,5,4.84,62.2,3.0,0.43,55.0,2
21658,0,4.58,4,4.62,61.7,2.84,0.36,55.0,4
7203,4,5.04,1,5.01,62.9,3.16,0.5,57.0,4
19278,6,7.59,1,7.5,59.6,4.5,1.57,56.0,3
42150,1,6.98,1,6.9,58.2,4.04,1.2,59.0,3
37814,3,4.41,4,4.46,61.6,2.73,0.33,60.0,3
37690,2,4.55,6,4.58,61.3,2.8,0.35,55.0,4
37355,4,4.09,3,4.11,61.0,2.5,0.25,55.0,4
28946,1,4.36,3,4.42,61.7,2.71,0.32,55.0,4
9245,5,4.37,5,4.41,62.6,2.75,0.32,54.0,4
48195,2,4.39,3,4.37,61.9,2.71,0.31,55.0,4
4856,3,6.68,2,6.65,62.0,4.13,1.12,55.0,4
8698,4,6.98,1,6.94,60.6,4.22,1.23,57.0,4
19359,0,6.48,4,6.39,62.3,4.01,1.04,59.0,3
17408,1,4.37,3,4.34,62.0,2.7,0.31,56.0,4
7572,2,6.39,3,6.45,62.3,4.0,1.03,59.0,2
28030,0,4.45,3,4.48,61.8,2.76,0.33,56.0,4
11078,2,5.17,1,5.19,60.5,3.14,0.5,56.0,4
15654,3,5.27,5,5.26,60.6,3.19,0.54,56.0,4
35575,1,4.29,2,4.31,63.7,2.74,0.31,57.0,1
30416,2,5.98,1,5.94,60.6,3.61,0.78,57.0,3
20724,2,6.44,6,6.34,63.4,4.05,1.01,55.0,2
10472,1,4.42,6,4.46,62.2,2.76,0.33,55.0,4
44468,2,7.32,2,7.27,62.2,4.54,1.51,58.0,3
8496,5,4.61,4,4.58,60.9,2.8,0.36,61.0,3
34469,3,4.76,2,4.8,60.0,2.87,0.4,63.0,2
18477,4,5.18,3,5.17,62.4,3.23,0.53,56.0,4
43384,5,7.29,1,7.33,62.5,4.57,1.52,58.0,4
9178,2,4.48,1,4.44,63.5,2.83,0.34,56.0,2
52622,3,6.81,2,6.75,63.0,4.27,1.2,60.0,3
52300,3,6.53,3,6.5,61.4,4.0,1.04,57.0,4
31786,2,5.05,3,5.1,61.3,3.11,0.5,61.0,1
20517,3,6.35,2,6.4,60.7,3.87,1.01,59.0,1
16636,2,4.32,5,4.29,61.1,2.63,0.3,59.0,3
37850,2,4.52,3,4.41,64.7,2.89,0.34,55.0,0
511,3,6.75,3,6.8,60.1,4.08,1.15,60.0,2
24091,6,7.23,6,7.16,62.3,4.48,1.5,62.0,3
22152,1,5.74,3,5.7,60.5,3.46,0.7,63.0,2
3333,3,8.06,1,8.11,62.8,5.08,2.02,55.0,2
51248,5,4.23,4,4.28,61.6,2.62,0.3,61.0,2
39280,3,5.19,3,5.13,61.0,3.15,0.52,60.0,3
24789,2,6.96,2,6.81,61.0,4.2,1.2,62.0,3
28543,3,4.64,2,4.66,61.1,2.84,0.37,56.0,4
41151,6,6.34,1,6.43,58.7,3.75,0.92,61.0,2
25444,0,6.52,2,6.54,61.9,4.04,1.03,57.0,4
33518,4,6.83,2,6.88,60.1,4.11,1.18,59.0,2
6074,5,7.33,2,7.35,62.5,4.59,1.55,60.0,3
43854,3,4.35,5,4.38,62.3,2.72,0.32,58.0,3
53052,1,5.31,5,5.36,60.7,3.24,0.56,57.0,2
19054,2,4.37,1,4.41,62.6,2.75,0.32,56.0,2
6940,4,5.93,6,5.96,61.9,3.69,0.8,56.0,2
12901,6,7.61,5,7.63,57.9,4.41,1.52,62.0,1
33170,3,4.64,1,4.66,63.4,2.95,0.4,59.0,1
24236,3,4.79,6,4.83,59.9,2.88,0.41,59.0,3
17849,2,6.35,1,6.28,63.0,3.98,1.01,60.0,3
45309,4,5.75,6,5.8,62.1,3.59,0.73,56.0,4
7222,6,7.29,5,7.34,62.5,4.57,1.51,59.0,3
4697,1,6.01,3,6.05,60.9,3.67,0.8,57.0,4
21881,2,5.27,4,5.17,60.9,3.18,0.51,57.0,3
305,3,4.34,3,4.29,62.3,2.69,0.31,56.0,4
38594,5,5.3,2,5.33,61.3,3.26,0.55,55.0,4
5378,4,8.02,3,7.88,62.6,4.98,2.01,59.0,3
15582,0,4.25,3,4.3,62.2,2.66,0.3,58.0,2
8573,4,7.61,4,7.69,62.4,4.77,1.7,55.0,4
25511,4,4.43,6,4.4,60.5,2.67,0.31,58.0,3
38065,5,4.37,3,4.33,62.8,2.73,0.32,58.0,3
42097,2,5.41,2,5.47,59.9,3.26,0.58,56.0,4
28432,2,7.33,2,7.3,62.3,4.56,1.51,57.0,4
50135,4,6.59,3,6.55,61.8,4.06,1.08,56.0,4
24940,3,4.44,3,4.46,61.3,2.73,0.33,59.0,3
662,1,6.22,2,6.18,65.6,4.07,1.01,59.0,0
33471,1,4.43,3,4.46,62.1,2.76,0.33,56.0,4
36235,1,6.12,2,6.17,62.3,3.83,0.9,61.0,2
35764,1,4.79,6,4.78,61.9,2.96,0.41,55.0,4
28981,5,4.34,2,4.31,63.8,2.76,0.31,55.0,1
527,3,6.55,0,6.5,60.3,3.94,1.02,58.0,3
38475,2,4.62,1,4.65,62.1,2.88,0.38,56.0,4
52754,4,4.36,3,4.33,63.1,2.74,0.32,55.0,2
8631,2,4.78,5,4.81,61.7,2.96,0.41,56.0,4
20165,4,6.48,3,6.39,62.3,4.01,1.02,54.0,4
42371,0,6.6,1,6.64,60.1,3.98,1.06,58.0,2
24064,4,8.19,3,8.1,62.0,5.05,2.08,58.0,3
32004,2,7.12,0,7.05,58.0,4.11,1.25,59.0,3
50827,2,6.79,3,6.83,62.3,4.24,1.2,55.0,4
45328,0,6.42,1,6.47,61.8,3.98,1.01,57.0,2
44063,5,7.34,2,7.31,63.1,4.62,1.5,54.0,2
37550,1,5.12,4,5.08,61.1,3.11,0.5,58.0,4
21527,3,4.42,4,4.46,61.3,2.72,0.32,55.0,4
48624,2,5.04,6,5.08,62.2,3.14,0.49,56.0,2
42558,3,5.23,2,5.28,61.3,3.22,0.55,59.0,3
17610,1,4.78,3,4.75,61.4,2.92,0.4,57.0,4
35572,0,4.95,5,4.97,59.5,2.95,0.43,59.0,3
903,0,6.49,4,6.54,62.0,4.04,1.06,57.0,4
7588,1,7.76,2,7.8,59.1,4.6,1.71,58.0,3
47763,1,5.58,1,5.52,58.6,3.25,0.62,58.0,3
14329,4,7.26,1,7.22,62.8,4.55,1.51,60.0,3
15414,6,6.43,4,6.48,61.1,3.95,1.0,57.0,4
13881,1,5.9,2,5.84,59.8,3.51,0.75,60.0,3
52073,4,8.08,1,8.19,60.2,4.9,2.02,55.0,1
48550,0,5.16,3,5.12,61.1,3.14,0.51,59.0,3
44239,4,5.95,2,5.92,62.8,3.73,0.81,57.0,4
35847,4,8.66,1,8.55,62.6,5.39,2.53,60.0,3
42486,1,4.56,7,4.53,61.4,2.79,0.35,56.0,4
6389,1,6.99,4,6.96,59.9,4.18,1.24,61.0,3
24550,3,4.3,6,4.26,63.3,2.71,0.3,55.0,2
9652,5,4.39,2,4.37,63.0,2.76,0.33,57.0,4
44809,1,7.4,1,7.32,62.6,4.61,1.51,53.0,4
9106,0,5.78,3,5.81,61.4,3.56,0.73,56.0,4
40919,4,4.27,3,4.3,63.5,2.72,0.3,54.0,1
37756,0,5.27,2,5.15,59.1,3.08,0.51,63.0,2
16015,3,5.73,6,5.77,61.7,3.55,0.72,54.8,4
37130,5,4.96,3,5.01,58.0,2.89,0.43,57.0,1
1532,4,7.42,3,7.36,60.6,4.48,1.51,58.0,3
35059,3,4.08,2,4.11,62.0,2.54,0.26,55.0,4
15657,0,5.78,1,5.81,63.8,3.7,0.77,58.0,1
9449,1,4.38,6,4.41,61.7,2.71,0.32,55.0,4
23021,5,6.95,2,7.02,60.4,4.22,1.24,58.0,2
50942,4,5.09,6,5.12,62.5,3.19,0.5,53.0,4
46385,1,5.86,3,5.76,62.0,3.6,0.73,57.0,3
13888,1,5.83,2,5.86,61.1,3.57,0.75,57.0,4
24575,2,4.41,5,4.36,61.8,2.71,0.32,60.0,3
9678,4,5.51,0,5.4,66.5,3.64,0.7,57.0,0
15410,0,8.28,1,8.21,60.9,5.02,2.11,60.0,3
52984,5,4.32,4,4.29,63.0,2.71,0.31,58.0,3
37712,1,5.14,3,5.17,61.5,3.17,0.52,56.0,4
18366,0,4.82,3,4.8,62.4,3.0,0.42,55.0,4
24661,3,6.3,1,6.36,62.7,3.97,1.0,59.0,3
3685,3,5.13,5,5.14,61.0,3.13,0.5,56.0,4
11202,1,5.25,3,5.28,61.0,3.21,0.54,56.0,4
40103,3,7.9,2,7.83,63.6,5.0,2.0,61.0,1
13421,2,5.84,4,5.9,60.0,3.52,0.71,57.0,2
27299,0,6.59,1,6.7,62.3,4.14,1.13,60.0,2
53295,3,7.0,5,6.98,59.9,4.19,1.24,60.0,3
11564,4,4.42,5,4.46,62.2,2.76,0.32,54.0,4
33521,3,4.06,7,4.07,61.1,2.48,0.25,57.0,4
31644,0,4.39,6,4.46,62.1,2.75,0.33,58.0,2
8142,2,4.33,2,4.31,62.7,2.71,0.31,58.0,3
8644,0,5.72,1,5.8,61.5,3.54,0.71,55.0,4
4063,0,4.35,2,4.31,63.5,2.75,0.32,55.0,2
50140,1,4.67,3,4.69,62.0,2.9,0.4,60.0,2
47208,3,6.51,5,6.47,61.8,4.01,1.04,58.0,3
31018,1,6.44,2,6.47,61.0,3.94,1.01,59.0,3
41209,3,4.46,7,4.49,62.3,2.79,0.34,59.0,3
19727,3,5.37,4,5.41,59.9,3.23,0.56,60.0,2
37012,5,5.33,3,5.37,63.4,3.39,0.59,56.0,1
18822,2,5.03,0,4.99,63.3,3.17,0.5,59.0,2
48909,3,4.8,4,4.78,62.4,2.99,0.42,59.0,3
34837,2,4.23,4,4.29,61.0,2.6,0.28,59.0,2
30194,1,7.8,1,7.7,62.3,4.83,1.74,57.0,4
17579,3,4.8,3,4.83,62.2,3.0,0.42,54.1,4
21608,3,5.22,2,5.29,61.3,3.22,0.53,56.0,4
25654,1,6.11,1,6.15,65.6,4.02,0.96,58.0,0
11341,2,4.59,4,4.55,60.0,2.74,0.34,59.0,3
2175,1,6.49,2,6.53,61.8,4.02,1.04,56.0,4
47814,1,6.46,2,6.5,62.0,4.02,1.03,55.0,4
8816,1,5.34,3,5.36,61.7,3.3,0.57,56.0,4
37851,1,4.3,2,4.25,62.9,2.69,0.3,56.0,4
15510,2,5.84,2,5.87,57.2,3.35,0.7,63.0,1
13111,4,6.89,1,6.95,61.0,4.22,1.22,57.0,4
14425,3,6.65,2,6.61,62.4,4.14,1.11,58.0,3
19934,2,4.8,4,4.83,61.3,2.95,0.4,54.0,2
15065,4,5.83,5,5.85,62.0,3.62,0.75,55.1,4
37121,2,6.45,1,6.38,59.9,3.84,0.97,59.0,3
47103,1,7.34,2,7.37,62.4,4.59,1.52,59.0,3
4521,2,4.47,5,4.5,61.8,2.77,0.33,54.0,4
6402,1,5.14,3,5.1,62.5,3.2,0.52,60.0,3
17738,1,4.36,6,4.33,61.2,2.66,0.3,57.0,4
40482,1,5.7,3,5.66,62.5,3.55,0.71,60.0,3
43150,1,4.76,5,4.79,62.2,2.97,0.41,57.0,2
45957,2,6.33,4,6.42,62.1,3.96,1.0,60.0,2
50882,4,8.14,2,8.21,59.3,4.85,2.02,60.0,2
1099,3,6.16,3,6.21,61.8,3.82,0.9,60.0,3
9664,4,4.81,4,4.77,61.8,2.96,0.41,56.0,4
14717,3,6.92,2,6.96,60.7,4.21,1.22,59.0,3
20,1,6.66,1,6.71,60.0,4.01,1.11,61.0,2
25010,3,4.28,3,4.33,61.1,2.63,0.3,62.0,2
50518,4,6.43,1,6.47,62.5,4.03,1.02,53.0,4
15715,4,6.73,3,6.69,62.4,4.19,1.2,59.0,3
52268,2,8.0,2,7.93,63.3,5.04,2.0,56.0,2
11748,4,5.68,3,5.75,61.8,3.53,0.72,61.0,1
37996,5,4.32,3,4.36,62.3,2.7,0.31,53.8,4
48574,4,6.16,3,6.13,63.1,3.88,0.91,59.0,2
46379,3,7.06,4,7.02,61.5,4.33,1.31,57.0,4
41719,6,5.72,4,5.77,61.6,3.54,0.7,57.0,4
50873,4,4.26,6,4.28,62.8,2.68,0.3,56.0,2
6443,0,4.48,3,4.45,61.8,2.76,0.33,56.0,4
51167,1,6.57,1,6.52,61.0,3.99,1.04,60.0,3
8163,3,4.8,2,4.83,62.7,3.02,0.43,56.0,2
45492,2,5.05,3,5.08,62.8,3.18,0.5,57.0,2
38643,1,5.83,2,5.73,61.4,3.55,0.72,57.0,3
14255,4,4.42,6,4.45,61.3,2.72,0.32,56.0,4
50968,2,6.7,0,6.65,59.8,3.99,1.1,61.0,3
34633,2,7.42,2,7.45,62.1,4.61,1.55,54.0,4
12699,0,6.25,2,6.3,60.2,3.78,0.91,60.0,3
10908,0,4.3,2,4.32,63.1,2.72,0.31,57.0,1
51767,4,4.37,5,4.32,61.4,2.67,0.31,58.0,3
25093,0,4.78,1,4.75,62.7,2.99,0.41,58.0,3
47836,3,4.55,5,4.57,62.3,2.84,0.36,56.0,4
5007,2,5.18,2,5.21,62.4,3.24,0.53,57.0,4
19523,4,4.61,1,4.65,60.3,2.79,0.35,55.0,4
14002,0,5.65,2,5.69,62.1,3.52,0.7,56.0,2
28349,3,6.53,2,6.54,61.9,4.05,1.04,53.0,4
24583,2,6.67,5,6.69,63.8,4.26,1.2,58.0,2
32243,6,6.89,1,6.94,62.3,4.31,1.28,58.0,3
20439,3,6.47,3,6.51,61.0,3.96,1.01,56.0,4
14642,2,4.84,3,4.87,61.0,2.96,0.43,57.0,2
33550,2,4.47,3,4.49,61.2,2.74,0.33,54.0,4
21134,3,4.53,5,4.56,61.8,2.81,0.35,55.0,4
47090,5,8.18,3,8.12,63.6,5.18,2.16,56.0,1
19708,3,5.33,4,5.3,62.1,3.3,0.57,56.0,4
7883,3,7.49,6,7.45,60.6,4.53,1.53,58.0,3
31622,3,4.98,5,5.02,63.0,3.15,0.5,58.0,2
22631,4,4.24,5,4.27,63.0,2.68,0.3,56.0,2
8722,2,6.48,1,6.41,59.0,3.8,1.0,67.0,0
27617,3,4.79,7,4.76,61.4,2.93,0.4,55.0,4
42779,1,6.55,1,6.6,61.7,4.06,1.08,57.0,4
20852,0,5.15,4,5.18,61.0,3.15,0.51,57.0,2
3107,2,5.11,5,5.09,62.2,3.17,0.5,54.0,4
7925,6,6.52,3,6.47,61.6,4.0,1.03,57.0,4
36535,2,7.29,3,7.24,63.0,4.58,1.51,55.0,4
50339,4,7.68,3,7.65,62.3,4.78,1.7,57.0,4
24555,3,6.67,3,6.58,60.5,4.01,1.1,60.0,3
26269,3,6.85,4,6.81,58.4,3.99,1.1,60.0,3
45400,1,3.93,5,3.99,60.6,2.4,0.23,60.0,2
47736,1,4.59,4,4.62,59.7,2.75,0.35,59.0,2
14755,3,4.48,3,4.49,62.7,2.81,0.34,55.0,4
37153,0,5.75,2,5.79,60.9,3.51,0.71,57.0,4
43987,0,5.22,3,5.16,60.9,3.16,0.52,58.0,3
11481,6,8.02,2,7.96,60.3,4.82,2.01,56.0,3
12225,4,6.72,2,6.68,62.4,4.18,1.2,59.0,3
30802,6,6.18,2,6.22,62.6,3.88,0.92,58.0,2
23979,1,4.82,3,4.85,62.0,3.0,0.43,57.0,4
27075,5,7.35,2,7.27,62.2,4.55,1.51,61.0,3
1300,2,4.26,1,4.29,63.4,2.71,0.3,56.0,1
3521,3,5.92,1,5.95,63.7,3.78,0.83,56.0,1
38040,1,4.45,3,4.43,62.8,2.79,0.34,58.0,3
50374,1,6.88,1,6.79,69.6,4.76,1.5,62.0,0
20209,2,5.72,3,5.77,62.7,3.6,0.73,58.0,4
35342,5,6.19,1,6.24,65.5,4.07,1.02,57.0,0
6500,1,4.3,4,4.34,61.1,2.64,0.3,58.0,4
33115,4,6.82,1,6.87,62.8,4.3,1.25,55.0,2
53208,1,6.9,4,6.96,62.0,4.3,1.24,58.0,2
48084,2,4.36,6,4.38,62.0,2.71,0.31,54.0,4
16388,1,5.27,1,5.3,60.4,3.19,0.54,57.0,4
21984,3,7.75,7,7.63,59.8,4.6,1.6,54.0,4
40220,4,4.29,4,4.34,62.3,2.69,0.3,55.0,4
18249,2,6.53,5,6.49,61.6,4.01,1.04,59.0,3
20473,1,4.56,3,4.61,61.1,2.8,0.36,57.0,4
9711,6,7.63,2,7.7,61.7,4.73,1.71,59.0,3
44317,1,6.37,1,6.33,57.5,3.65,0.9,68.0,0
17884,1,4.67,4,4.71,62.5,2.93,0.4,55.0,4
19615,2,4.81,6,4.84,62.0,2.99,0.42,55.0,4
41056,5,7.51,1,7.43,61.2,4.57,1.54,58.0,3
52784,2,6.28,1,6.24,65.3,4.09,1.01,59.0,0
40814,2,5.72,1,5.75,61.6,3.53,0.71,57.0,4
1064,3,4.41,3,4.38,62.6,2.75,0.33,56.0,4
25382,5,4.16,4,4.19,61.3,2.56,0.27,57.0,4
41392,3,7.04,4,7.07,61.7,4.35,1.32,56.0,4
29815,1,4.73,4,4.75,62.4,2.96,0.4,54.0,4
38076,5,5.21,2,5.25,62.0,3.24,0.54,55.0,4
47786,1,4.27,4,4.32,58.9,2.53,0.28,58.0,2
31913,3,5.75,2,5.8,63.7,3.68,0.76,58.0,2
7333,4,6.17,3,6.11,63.4,3.89,0.92,57.0,2
6106,5,7.78,2,7.74,57.9,4.49,1.64,61.0,1
9963,1,6.82,2,6.86,63.5,4.35,1.24,55.0,1
14507,2,6.23,2,6.15,65.8,4.07,1.0,58.0,0
14847,1,4.9,3,4.92,60.3,2.96,0.44,58.0,2
33100,4,4.73,4,4.71,62.7,2.96,0.4,56.0,3
20373,2,5.35,5,5.38,60.6,3.25,0.57,56.0,4
3692,1,4.59,5,4.63,62.5,2.88,0.37,53.0,4
6866,1,4.48,3,4.54,58.8,2.65,0.32,63.0,1
39009,6,6.42,0,6.39,60.7,3.89,1.01,59.0,3
50381,4,4.15,5,4.1,62.1,2.56,0.27,57.0,4
7814,5,6.73,2,6.77,60.6,4.09,1.12,60.0,2
17464,3,5.3,3,5.27,62.1,3.28,0.57,57.0,3
6734,1,6.98,5,6.96,59.5,4.15,1.2,54.0,2
4288,0,4.85,4,4.86,61.6,2.99,0.43,56.0,4
20291,3,6.52,1,6.58,62.3,4.08,1.05,56.0,4
43675,4,4.37,4,4.3,62.1,2.69,0.31,54.0,4
24514,3,6.33,6,6.42,63.1,4.02,1.01,59.0,1
26875,3,5.44,5,5.47,62.4,3.4,0.61,55.0,2
52538,0,4.67,4,4.7,64.0,3.0,0.4,55.0,1
6787,1,4.29,5,4.32,61.6,2.65,0.3,57.0,4
37937,4,4.51,6,4.55,62.3,2.82,0.35,55.0,4
24329,1,4.45,2,4.42,63.1,2.8,0.33,56.0,2
5631,5,7.17,2,7.26,62.8,4.53,1.51,59.0,2
32095,0,5.82,2,5.77,59.7,3.46,0.7,58.0,4
47127,0,6.32,6,6.36,63.9,4.05,1.01,56.0,2
50635,3,6.64,5,6.72,62.3,4.18,1.14,55.0,4
23798,1,6.35,2,6.41,62.9,4.01,1.01,58.0,2
32521,4,4.34,5,4.37,61.5,2.68,0.3,55.0,4
51210,0,4.61,2,4.65,61.3,2.84,0.36,56.0,4
24440,0,4.9,1,4.86,61.1,2.98,0.43,58.0,3
6321,3,5.6,2,5.69,63.1,3.56,0.71,60.0,2
30549,1,5.74,2,5.72,59.2,3.39,0.67,61.0,3
34451,0,4.29,2,4.26,62.0,2.65,0.3,60.0,3
18584,5,6.9,0,6.79,60.5,4.14,1.2,58.0,3
42654,0,4.79,3,4.83,60.7,2.92,0.42,60.0,2
39392,3,7.29,1,7.34,62.3,4.56,1.54,60.0,4
1110,3,6.65,3,6.58,60.8,4.02,1.05,57.0,4
24073,3,5.98,2,5.9,59.1,3.51,0.75,59.0,3
8526,1,5.93,2,5.97,61.5,3.66,0.8,58.0,3
9034,3,4.65,5,4.7,62.5,2.92,0.4,60.0,2
8382,0,4.77,4,4.82,59.9,2.87,0.4,57.0,4
22107,4,5.11,4,5.14,61.8,3.16,0.51,57.0,4
30008,2,5.36,4,5.33,61.9,3.31,0.58,56.0,4
39750,1,4.41,2,4.44,60.6,2.68,0.33,60.0,2
23634,6,6.66,2,6.58,63.1,4.18,1.2,61.0,2
33444,2,5.23,2,5.28,62.4,3.28,0.55,55.0,4
12046,6,7.02,1,6.98,60.1,4.21,1.24,57.0,4
15976,6,5.83,4,5.78,61.3,3.56,0.73,61.0,3
17166,2,8.19,1,8.33,61.3,5.06,2.09,59.0,2
45693,1,5.29,2,5.24,61.7,3.25,0.55,56.0,4
26631,4,6.68,1,6.74,62.7,4.21,1.17,56.0,2
45902,2,6.37,3,6.39,61.8,3.94,0.99,57.0,2
40675,6,7.25,2,7.32,63.1,4.6,1.51,55.0,2
45907,4,4.36,5,4.33,61.9,2.69,0.31,58.0,3
38673,6,7.59,2,7.63,62.3,4.74,1.67,59.0,2
39674,5,5.62,4,5.66,64.2,3.62,0.71,56.0,1
53107,4,4.42,7,4.4,60.8,2.68,0.31,56.0,4
183,2,8.1,1,8.05,61.9,5.0,2.01,55.0,4
9511,4,5.8,5,5.85,61.3,3.57,0.74,58.0,2
35934,2,5.72,2,5.76,62.2,3.57,0.72,59.0,2
53647,2,7.09,3,7.05,62.5,4.42,1.34,56.0,4
53629,0,6.7,1,6.66,61.2,4.09,1.12,59.0,3
48011,3,5.41,4,5.35,61.5,3.31,0.58,58.0,3
21311,3,4.26,6,4.28,62.1,2.65,0.3,58.0,4
35604,5,4.28,3,4.31,61.5,2.64,0.3,58.0,4
47444,1,4.47,2,4.5,61.8,2.77,0.34,58.0,3
42561,1,3.91,4,3.95,61.8,2.43,0.23,60.0,3
44626,0,5.75,1,5.77,60.6,3.49,0.7,56.6,4
34723,0,5.7,2,5.72,61.8,3.53,0.7,56.0,4
35123,6,6.42,1,6.44,62.7,4.03,1.01,55.0,2
42134,4,8.42,1,8.35,55.3,4.64,2.0,65.0,0
28255,1,4.38,4,4.35,61.6,2.69,0.31,56.0,4
23504,5,4.34,2,4.36,62.1,2.7,0.31,53.0,4
42807,0,5.84,1,5.79,59.7,3.47,0.71,60.0,3
533,0,6.0,3,5.93,58.0,3.46,0.74,59.0,3
3830,0,5.2,3,5.16,61.8,3.2,0.52,57.0,4
37193,2,5.16,6,5.19,61.8,3.2,0.53,57.0,4
37403,3,4.78,3,4.81,62.4,2.99,0.41,54.0,4
35510,0,4.39,3,4.42,61.5,2.71,0.32,56.0,4
22525,4,4.28,4,4.31,62.2,2.67,0.3,57.0,4
12985,2,4.44,2,4.47,61.3,2.73,0.32,55.0,4
44660,1,4.49,7,4.51,62.0,2.79,0.34,56.0,4
51974,2,4.34,3,4.32,61.9,2.68,0.31,57.0,4
26173,3,7.61,3,7.64,62.5,4.76,1.68,54.0,4
37502,1,4.45,6,4.49,60.0,2.68,0.31,56.0,2
23827,4,8.13,2,8.03,61.5,4.97,2.01,53.0,3
25842,2,6.36,3,6.42,62.9,4.02,1.01,55.0,2
51755,5,4.82,4,4.78,61.9,2.97,0.41,55.0,4
